timestamp,percentageNow,timeFuture,percentageFuture
2026-01-06T07:07:50.034Z,7.405037504467204%,2026-01-06T08:57:50.034Z,26.43176193243789%
2026-01-06T07:17:50.038Z,6.831156372374558%,2026-01-06T09:07:50.038Z,26.101755211110927%
2026-01-06T07:27:50.039Z,6.8026620038831584%,2026-01-06T09:17:50.039Z,25.785227610643354%
2026-01-06T07:37:50.041Z,7.604061610594121%,2026-01-06T09:27:50.041Z,26.439269503045924%
2026-01-06T07:47:50.042Z,6.63474316853096%,2026-01-06T09:37:50.042Z,25.3558946963503%
2026-01-06T07:57:50.046Z,6.791217498728763%,2026-01-06T09:47:50.046Z,25.575706834492312%
2026-01-06T08:07:50.049Z,5.594972426469558%,2026-01-06T09:57:50.049Z,24.485467122060207%
2026-01-06T08:17:50.050Z,4.8887494732208046%,2026-01-06T10:07:50.050Z,23.295660882457515%
2026-01-06T08:27:50.051Z,5.101745888470921%,2026-01-06T10:17:50.051Z,24.131661274124735%
2026-01-06T08:37:50.055Z,4.982857216609471%,2026-01-06T10:27:50.055Z,23.769827949120277%
2026-01-06T08:47:50.056Z,4.619459318794583%,2026-01-06T10:37:50.056Z,23.796212529346363%
2026-01-06T08:57:50.059Z,10.721028863990757%,2026-01-06T10:47:50.059Z,31.384851193915324%
2026-01-06T09:07:50.061Z,10.28885713010811%,2026-01-06T10:57:50.061Z,30.5239809377004%
2026-01-06T09:17:50.064Z,10.115211989640704%,2026-01-06T11:07:50.064Z,30.043248442508684%
2026-01-06T09:27:50.118Z,10.004115426724065%,2026-01-06T11:17:50.118Z,29.74234648203844%
2026-01-06T09:31:01.167Z,9.77931331550052%,2026-01-06T11:21:01.167Z,29.63801636886553%
2026-01-06T09:31:01.232Z,9.77931331550052%,2026-01-06T11:21:01.232Z,29.63801636886553%
2026-01-06T09:37:50.214Z,9.824061513246507%,2026-01-06T11:27:50.214Z,29.672537079927825%
2026-01-06T09:46:02.829Z,55.21156022948326%,2026-01-06T11:36:02.829Z,78.15328510389041%
2026-01-06T09:46:02.916Z,55.21156022948326%,2026-01-06T11:36:02.916Z,78.15328510389041%
2026-01-06T09:47:03.005Z,55.1121774121283%,2026-01-06T11:37:03.005Z,75.7155124059619%
2026-01-06T09:47:50.216Z,55.1121774121283%,2026-01-06T11:37:50.216Z,75.7155124059619%
2026-01-06T09:57:50.312Z,35.998900430167815%,2026-01-06T11:47:50.312Z,70.64711462436047%
2026-01-06T10:02:04.099Z,37.74887504445321%,2026-01-06T11:52:04.099Z,72.53794419034735%
2026-01-06T10:02:04.134Z,37.74887504445321%,2026-01-06T11:52:04.134Z,72.53794419034735%
2026-01-06T10:07:50.327Z,37.71029533768775%,2026-01-06T11:57:50.327Z,72.41401507380043%
2026-01-06T10:17:05.371Z,40.829500126197715%,2026-01-06T12:07:05.371Z,72.12273436762008%
2026-01-06T10:17:05.441Z,40.86219087761126%,2026-01-06T12:07:05.441Z,72.62001797599014%
2026-01-06T10:17:50.329Z,40.86219087761126%,2026-01-06T12:07:50.329Z,72.62001797599014%
2026-01-06T10:27:50.365Z,44.742560844041584%,2026-01-06T12:17:50.365Z,73.32908956689641%
2026-01-06T10:37:50.535Z,47.538486213753814%,2026-01-06T12:27:50.535Z,74.62107738810144%
2026-01-06T10:47:50.518Z,51.09329874445808%,2026-01-06T12:37:50.518Z,76.62742773658144%
2026-01-06T10:57:50.521Z,57.290574935631255%,2026-01-06T12:47:50.521Z,77.12067262159124%
2026-01-06T11:07:50.524Z,58.970657705727966%,2026-01-06T12:57:50.524Z,77.75384308051328%
2026-01-06T11:17:50.528Z,57.58970245501776%,2026-01-06T13:07:50.528Z,76.79890597685842%
2026-01-06T11:27:50.531Z,57.00355837813369%,2026-01-06T13:17:50.531Z,76.45430464111264%
2026-01-06T11:37:50.639Z,56.29142362690413%,2026-01-06T13:27:50.639Z,77.26763321920549%
2026-01-06T11:47:50.641Z,55.23681649703215%,2026-01-06T13:37:50.641Z,76.89823748117449%
2026-01-06T11:57:50.774Z,34.132938174388954%,2026-01-06T13:47:50.774Z,44.39025917787801%
2026-01-06T12:07:50.825Z,33.644333889996524%,2026-01-06T13:57:50.825Z,44.428131288764725%
2026-01-06T12:13:28.160Z,29.994827239763122%,2026-01-06T14:03:28.160Z,44.21619847363947%
2026-01-06T12:14:28.496Z,29.817668788817176%,2026-01-06T14:04:28.496Z,44.44008693813017%
2026-01-06T12:17:50.806Z,29.806973039205943%,2026-01-06T14:07:50.806Z,44.41534962271702%
2026-01-06T12:27:50.857Z,31.53081258257664%,2026-01-06T14:17:50.857Z,45.27875133014785%
2026-01-06T12:29:34.603Z,31.470852714651958%,2026-01-06T14:19:34.603Z,45.13523184111349%
2026-01-06T12:29:34.663Z,31.474445916618333%,2026-01-06T14:19:34.663Z,45.189215729351176%
2026-01-06T12:37:50.882Z,30.834427947132593%,2026-01-06T14:27:50.882Z,43.52984074893953%
2026-01-06T12:44:36.978Z,35.1143297366001%,2026-01-06T14:34:36.978Z,45.54369897693631%
2026-01-06T12:44:37.008Z,34.451637300754015%,2026-01-06T14:34:37.008Z,45.36602215443434%
2026-01-06T12:47:50.868Z,34.46901789387296%,2026-01-06T14:37:50.868Z,45.40622029197967%
2026-01-06T12:57:50.870Z,43.44941905126771%,2026-01-06T14:47:50.870Z,68.0150133420946%
2026-01-06T12:59:38.907Z,43.01833009101331%,2026-01-06T14:49:38.907Z,67.98935284490375%
2026-01-06T12:59:38.936Z,43.01833009101331%,2026-01-06T14:49:38.936Z,67.98935284490375%
2026-01-06T13:07:50.870Z,42.87937429222304%,2026-01-06T14:57:50.870Z,68.05443636572714%
2026-01-06T13:14:40.515Z,44.71574182295084%,2026-01-06T15:04:40.515Z,71.95725206570336%
2026-01-06T13:14:40.589Z,39.518481424672544%,2026-01-06T15:04:40.589Z,69.86796053019316%
2026-01-06T13:17:50.873Z,39.62331147110219%,2026-01-06T15:07:50.873Z,70.03644602150051%
2026-01-06T13:27:50.874Z,37.88413188190054%,2026-01-06T15:17:50.874Z,68.4002002485457%
2026-01-06T13:29:42.192Z,35.56773745380462%,2026-01-06T15:19:42.192Z,67.43190325102337%
2026-01-06T13:29:42.231Z,35.57010842924602%,2026-01-06T15:19:42.231Z,67.4241646274327%
2026-01-06T13:37:50.876Z,33.731596079033366%,2026-01-06T15:27:50.876Z,68.10874700310036%
2026-01-06T13:44:43.997Z,34.10719081099803%,2026-01-06T15:34:43.997Z,76.17512100353667%
2026-01-06T13:44:44.022Z,34.10719081099803%,2026-01-06T15:34:44.022Z,76.17512100353667%
2026-01-06T13:47:50.877Z,34.05217222127914%,2026-01-06T15:37:50.877Z,76.08587439368215%
2026-01-06T13:57:50.879Z,40.33490269418563%,2026-01-06T15:47:50.879Z,75.9668856660948%
2026-01-06T14:00:45.970Z,42.147912331732705%,2026-01-06T15:50:45.970Z,76.30919350815371%
2026-01-06T14:00:46.006Z,42.130922748933905%,2026-01-06T15:50:46.006Z,76.44235315462144%
2026-01-06T14:07:50.880Z,42.105136011831284%,2026-01-06T15:57:50.880Z,76.40388352445274%
2026-01-06T14:15:47.664Z,42.10236204816291%,2026-01-06T16:05:47.664Z,76.19811191174571%
2026-01-06T14:15:47.735Z,42.135409033961544%,2026-01-06T16:05:47.735Z,75.8238446013498%
2026-01-06T14:17:50.883Z,42.117277734432705%,2026-01-06T16:07:50.883Z,75.79679564263722%
2026-01-06T14:27:50.884Z,41.566900751966365%,2026-01-06T16:17:50.884Z,72.5670265002537%
2026-01-06T14:30:49.112Z,35.79508750505424%,2026-01-06T16:20:49.112Z,70.18317430675668%
2026-01-06T14:30:49.158Z,35.813756418645745%,2026-01-06T16:20:49.158Z,70.32307894696024%
2026-01-06T14:37:50.887Z,35.8596890441051%,2026-01-06T16:27:50.887Z,70.39160297569988%
2026-01-06T14:45:50.750Z,36.558431476211325%,2026-01-06T16:35:50.750Z,71.63027959481258%
2026-01-06T14:45:50.814Z,36.59721044584629%,2026-01-06T16:35:50.814Z,71.20599760541778%
2026-01-06T14:47:50.888Z,36.6484629042612%,2026-01-06T16:37:50.888Z,71.2823403135986%
2026-01-06T14:57:50.890Z,44.914824898591235%,2026-01-06T16:47:50.890Z,73.2806561039429%
2026-01-06T15:00:51.933Z,44.661286566473194%,2026-01-06T16:50:51.933Z,72.93498698716895%
2026-01-06T15:00:51.960Z,44.661286566473194%,2026-01-06T16:50:51.960Z,72.93498698716895%
2026-01-06T15:07:50.892Z,44.67864701645083%,2026-01-06T16:57:50.892Z,72.96127431866364%
2026-01-06T15:15:53.515Z,44.51530908514993%,2026-01-06T17:05:53.515Z,72.24987914174805%
2026-01-06T15:15:53.544Z,44.51530908514993%,2026-01-06T17:05:53.544Z,72.24987914174805%
2026-01-06T15:17:50.895Z,44.59975952467045%,2026-01-06T17:07:50.895Z,72.37651680707287%
2026-01-06T15:27:50.897Z,44.95443849810255%,2026-01-06T17:17:50.897Z,70.98327624626519%
2026-01-06T15:30:55.183Z,46.744387712480226%,2026-01-06T17:20:55.183Z,69.60078171984824%
2026-01-06T15:31:55.078Z,46.830562960865045%,2026-01-06T17:21:55.078Z,69.48024772783236%
2026-01-06T15:37:50.900Z,46.77707768250131%,2026-01-06T17:27:50.900Z,69.40004387312685%
2026-01-06T15:46:56.469Z,50.4892663560098%,2026-01-06T17:36:56.469Z,70.30542111343404%
2026-01-06T15:46:56.515Z,50.4892663560098%,2026-01-06T17:36:56.515Z,70.30542111343404%
2026-01-06T15:47:50.901Z,50.48175965027231%,2026-01-06T17:37:50.901Z,70.2941644320722%
2026-01-06T15:57:50.904Z,46.68474114041541%,2026-01-06T17:47:50.904Z,69.60076417290149%
2026-01-06T16:01:57.792Z,47.621443989827405%,2026-01-06T17:51:57.792Z,69.26130759368192%
2026-01-06T16:01:57.816Z,47.621443989827405%,2026-01-06T17:51:57.816Z,69.26130759368192%
2026-01-06T16:07:50.906Z,47.6282976266888%,2026-01-06T17:57:50.906Z,69.27215828840806%
2026-01-06T16:16:59.690Z,46.17189993469344%,2026-01-06T18:06:59.690Z,64.77851224334145%
2026-01-06T16:16:59.737Z,46.17189993469344%,2026-01-06T18:06:59.737Z,64.77851224334145%
2026-01-06T16:17:50.907Z,46.15088798702053%,2026-01-06T18:07:50.907Z,64.74531284793343%
2026-01-06T16:27:50.909Z,44.97079281754098%,2026-01-06T18:17:50.909Z,61.11010365186525%
2026-01-06T16:32:01.280Z,44.66974861662132%,2026-01-06T18:22:01.280Z,59.149592977834246%
2026-01-06T16:32:01.452Z,44.60426767727737%,2026-01-06T18:22:01.452Z,59.38765610812264%
2026-01-06T16:37:50.910Z,44.5581037583969%,2026-01-06T18:27:50.910Z,59.31494271872667%
2026-01-06T16:47:03.239Z,45.06563606551222%,2026-01-06T18:37:03.239Z,60.98568747834848%
2026-01-06T16:47:50.913Z,45.06563606551222%,2026-01-06T18:37:50.913Z,60.98568747834848%
2026-01-06T16:48:03.366Z,45.21423394537838%,2026-01-06T18:38:03.366Z,60.76340135899528%
2026-01-06T16:57:50.964Z,44.92124474215568%,2026-01-06T18:47:50.964Z,62.341498222256405%
2026-01-06T17:07:50.951Z,46.28389706321702%,2026-01-06T18:57:50.951Z,63.596930698251484%
2026-01-06T17:17:50.980Z,45.57561454657692%,2026-01-06T19:07:50.980Z,65.33086137277513%
2026-01-06T17:27:50.989Z,45.34076510897742%,2026-01-06T19:17:50.989Z,66.8246742412759%
2026-01-06T17:32:08.314Z,44.638265674744304%,2026-01-06T19:22:08.314Z,66.12691894888411%
2026-01-06T17:32:08.373Z,44.638265674744304%,2026-01-06T19:22:08.373Z,66.12691894888411%
2026-01-06T17:37:51.039Z,44.606443407273005%,2026-01-06T19:27:51.039Z,66.08185564512257%
2026-01-06T17:47:51.095Z,46.018710200166055%,2026-01-06T19:37:51.095Z,72.59868102351761%
2026-01-06T17:48:12.190Z,45.11822031169235%,2026-01-06T19:38:12.190Z,72.07317334858504%
2026-01-06T17:48:12.217Z,45.11822031169235%,2026-01-06T19:38:12.217Z,72.07317334858504%
2026-01-06T17:57:51.174Z,48.17440832756029%,2026-01-06T19:47:51.174Z,71.06861069473989%
2026-01-06T18:03:15.046Z,49.178767573287395%,2026-01-06T19:53:15.046Z,72.11211959308494%
2026-01-06T18:03:15.094Z,49.178767573287395%,2026-01-06T19:53:15.094Z,72.11211959308494%
2026-01-06T18:07:51.259Z,49.06437652356158%,2026-01-06T19:57:51.259Z,71.9191378414317%
2026-01-06T18:17:51.343Z,48.565363900918044%,2026-01-06T20:07:51.343Z,71.83207106751941%
2026-01-06T18:27:51.326Z,48.207946953985015%,2026-01-06T20:17:51.326Z,72.75261664327999%
2026-01-06T18:37:51.328Z,48.262714420904175%,2026-01-06T20:27:51.328Z,72.91111150668321%
2026-01-06T18:47:51.331Z,49.70566419406616%,2026-01-06T20:37:51.331Z,74.00472942968143%
