Total_Obs,Day_Obs,Date,Time,Heart.Rate,Max_70_perc
139497,206,2025-07-03,00:26:28,61,136.5
139498,207,2025-07-03,00:26:33,60,136.5
139499,208,2025-07-03,00:26:43,61,136.5
139500,209,2025-07-03,00:26:48,69,136.5
139501,210,2025-07-03,00:26:53,70,136.5
139502,211,2025-07-03,00:26:58,67,136.5
139503,212,2025-07-03,00:27:03,68,136.5
139504,213,2025-07-03,00:27:18,68,136.5
139505,214,2025-07-03,00:27:23,62,136.5
139506,215,2025-07-03,00:27:28,61,136.5
139507,216,2025-07-03,00:27:33,59,136.5
139508,217,2025-07-03,00:27:38,57,136.5
139509,218,2025-07-03,00:27:53,57,136.5
139510,219,2025-07-03,00:28:03,56,136.5
139511,220,2025-07-03,00:28:18,56,136.5
139512,221,2025-07-03,00:28:33,58,136.5
139513,222,2025-07-03,00:28:38,57,136.5
139514,223,2025-07-03,00:28:48,58,136.5
139515,224,2025-07-03,00:28:53,60,136.5
139516,225,2025-07-03,00:29:02,60,136.5
139517,226,2025-07-03,00:29:17,60,136.5
139518,227,2025-07-03,00:29:32,61,136.5
139519,228,2025-07-03,00:29:37,60,136.5
139520,229,2025-07-03,00:29:42,59,136.5
139521,230,2025-07-03,00:29:47,58,136.5
139522,231,2025-07-03,00:29:57,59,136.5
139523,232,2025-07-03,00:30:02,58,136.5
139524,233,2025-07-03,00:30:12,58,136.5
139525,234,2025-07-03,00:30:27,59,136.5
139526,235,2025-07-03,00:30:32,60,136.5
139527,236,2025-07-03,00:30:47,59,136.5
139528,237,2025-07-03,00:30:57,58,136.5
139529,238,2025-07-03,00:31:07,57,136.5
139530,239,2025-07-03,00:31:22,57,136.5
139531,240,2025-07-03,00:31:27,58,136.5
139532,241,2025-07-03,00:31:32,59,136.5
139533,242,2025-07-03,00:31:42,60,136.5
139534,243,2025-07-03,00:31:47,59,136.5
139535,244,2025-07-03,00:31:52,58,136.5
139536,245,2025-07-03,00:32:07,57,136.5
139537,246,2025-07-03,00:32:22,57,136.5
139538,247,2025-07-03,00:32:32,58,136.5
139539,248,2025-07-03,00:32:47,57,136.5
139540,249,2025-07-03,00:32:52,58,136.5
139541,250,2025-07-03,00:33:07,60,136.5
139542,251,2025-07-03,00:33:12,62,136.5
139543,252,2025-07-03,00:33:17,62,136.5
139544,253,2025-07-03,00:33:22,64,136.5
139545,254,2025-07-03,00:33:27,63,136.5
139546,255,2025-07-03,00:33:32,61,136.5
139547,256,2025-07-03,00:33:47,62,136.5
139548,257,2025-07-03,00:33:57,63,136.5
139549,258,2025-07-03,00:34:02,64,136.5
139550,259,2025-07-03,00:34:17,64,136.5
139551,260,2025-07-03,00:34:27,65,136.5
139552,261,2025-07-03,00:34:32,68,136.5
139553,262,2025-07-03,00:34:37,72,136.5
139554,263,2025-07-03,00:34:42,73,136.5
139555,264,2025-07-03,00:34:47,71,136.5
139556,265,2025-07-03,00:34:52,69,136.5
139557,266,2025-07-03,00:34:57,68,136.5
139558,267,2025-07-03,00:35:02,64,136.5
139559,268,2025-07-03,00:35:07,60,136.5
139560,269,2025-07-03,00:35:12,58,136.5
139561,270,2025-07-03,00:35:27,59,136.5
139562,271,2025-07-03,00:35:37,58,136.5
139563,272,2025-07-03,00:35:42,55,136.5
139564,273,2025-07-03,00:35:47,54,136.5
139565,274,2025-07-03,00:35:57,54,136.5
139566,275,2025-07-03,00:36:02,55,136.5
139567,276,2025-07-03,00:36:07,56,136.5
139568,277,2025-07-03,00:36:12,57,136.5
139569,278,2025-07-03,00:36:22,56,136.5
139570,279,2025-07-03,00:36:27,55,136.5
139571,280,2025-07-03,00:36:32,54,136.5
139572,281,2025-07-03,00:36:47,57,136.5
139573,282,2025-07-03,00:36:57,58,136.5
139574,283,2025-07-03,00:37:12,59,136.5
139575,284,2025-07-03,00:37:27,59,136.5
139576,285,2025-07-03,00:37:32,57,136.5
139577,286,2025-07-03,00:37:37,56,136.5
139578,287,2025-07-03,00:37:42,55,136.5
139579,288,2025-07-03,00:37:52,56,136.5
139580,289,2025-07-03,00:37:57,58,136.5
139581,290,2025-07-03,00:38:02,61,136.5
139582,291,2025-07-03,00:38:07,60,136.5
139583,292,2025-07-03,00:38:12,59,136.5
139584,293,2025-07-03,00:38:17,57,136.5
139585,294,2025-07-03,00:38:27,58,136.5
139586,295,2025-07-03,00:38:42,58,136.5
139587,296,2025-07-03,00:38:47,59,136.5
139588,297,2025-07-03,00:38:52,61,136.5
139589,298,2025-07-03,00:38:57,62,136.5
139590,299,2025-07-03,00:39:02,61,136.5
139591,300,2025-07-03,00:39:17,61,136.5
139592,301,2025-07-03,00:39:22,62,136.5
139593,302,2025-07-03,00:39:37,62,136.5
139594,303,2025-07-03,00:39:42,56,136.5
139595,304,2025-07-03,00:39:47,56,136.5
139596,305,2025-07-03,00:39:53,56,136.5
139597,306,2025-07-03,00:40:08,56,136.5
139598,307,2025-07-03,00:40:13,55,136.5
139599,308,2025-07-03,00:40:18,54,136.5
139600,309,2025-07-03,00:40:23,55,136.5
139601,310,2025-07-03,00:40:28,56,136.5
139602,311,2025-07-03,00:40:33,55,136.5
139603,312,2025-07-03,00:40:38,56,136.5
139604,313,2025-07-03,00:40:43,57,136.5
139605,314,2025-07-03,00:40:58,57,136.5
139606,315,2025-07-03,00:41:03,57,136.5
139607,316,2025-07-03,00:41:13,56,136.5
139608,317,2025-07-03,00:41:23,57,136.5
139609,318,2025-07-03,00:41:28,58,136.5
139610,319,2025-07-03,00:41:38,60,136.5
139611,320,2025-07-03,00:41:43,61,136.5
139612,321,2025-07-03,00:41:48,60,136.5
139613,322,2025-07-03,00:41:53,59,136.5
139614,323,2025-07-03,00:41:58,57,136.5
139615,324,2025-07-03,00:42:03,56,136.5
139616,325,2025-07-03,00:42:13,58,136.5
139617,326,2025-07-03,00:42:18,59,136.5
139618,327,2025-07-03,00:42:33,59,136.5
139619,328,2025-07-03,00:42:38,58,136.5
139620,329,2025-07-03,00:42:53,58,136.5
139621,330,2025-07-03,00:43:03,58,136.5
139622,331,2025-07-03,00:43:08,59,136.5
139623,332,2025-07-03,00:43:13,59,136.5
139624,333,2025-07-03,00:43:23,60,136.5
139625,334,2025-07-03,00:43:28,61,136.5
139626,335,2025-07-03,00:43:33,62,136.5
139627,336,2025-07-03,00:43:38,67,136.5
139628,337,2025-07-03,00:43:43,69,136.5
139629,338,2025-07-03,00:43:48,70,136.5
139630,339,2025-07-03,00:44:03,70,136.5
139631,340,2025-07-03,00:44:18,70,136.5
139632,341,2025-07-03,00:44:23,71,136.5
139633,342,2025-07-03,00:44:28,72,136.5
139634,343,2025-07-03,00:44:33,70,136.5
139635,344,2025-07-03,00:44:38,67,136.5
139636,345,2025-07-03,00:44:48,68,136.5
139637,346,2025-07-03,00:44:53,69,136.5
139638,347,2025-07-03,00:44:58,70,136.5
139639,348,2025-07-03,00:45:03,71,136.5
139640,349,2025-07-03,00:45:13,72,136.5
139641,350,2025-07-03,00:45:28,72,136.5
139642,351,2025-07-03,00:45:38,74,136.5
139643,352,2025-07-03,00:45:48,71,136.5
139644,353,2025-07-03,00:45:53,70,136.5
139645,354,2025-07-03,00:45:58,71,136.5
139646,355,2025-07-03,00:46:03,69,136.5
